MATCHUP,team,opponent,Location
Ohio Dominican @ Pennsylvania, Pennsylvania,Ohio Dominican ,1
San Diego @ Princeton, Princeton,San Diego ,1
Yale @ Lehigh, Lehigh,Yale ,1
Bryant @ Brown, Brown,Bryant ,1
Harvard @ Rhode Island, Rhode Island,Harvard ,1
Wagner @ Columbia, Columbia,Wagner ,1
Cornell @ Delaware, Delaware,Cornell ,1
Dartmouth @ Stetson, Stetson,Dartmouth ,1
Holy Cross @ Dartmouth, Dartmouth,Holy Cross ,1
Cornell @ Yale, Yale,Cornell ,1
Brown @ Harvard, Harvard,Brown ,1
Pennsylvania @ Lehigh, Lehigh,Pennsylvania ,1
Georgetown @ Columbia, Columbia,Georgetown ,1
Princeton @ Lafayette, Lafayette,Princeton ,1
Dartmouth @ Pennsylvania, Pennsylvania,Dartmouth ,1
Colgate @ Cornell, Cornell,Colgate ,1
Rhode Island @ Brown, Brown,Rhode Island ,1
Columbia @ Princeton, Princeton,Columbia ,1
Harvard vs. Georgetown*,Harvard,Georgetown ,0
Yale @ Fordham, Fordham,Yale ,1
Yale @ Dartmouth, Dartmouth,Yale ,1
Georgetown @ Princeton, Princeton,Georgetown ,1
Harvard @ Cornell, Cornell,Harvard ,1
Columbia @ Marist, Marist,Columbia ,1
Pennsylvania @ Central Connecticut, Central Connecticut,Pennsylvania ,1
Brown @ Stetson, Stetson,Brown ,1
Princeton @ Brown, Brown,Princeton ,1
Bucknell @ Cornell, Cornell,Bucknell ,1
Holy Cross @ Yale, Yale,Holy Cross ,1
Dartmouth @ Sacred Heart, Sacred Heart,Dartmouth ,1
Lafayette @ Harvard, Harvard,Lafayette ,1
Pennsylvania @ Columbia, Columbia,Pennsylvania ,1
Princeton @ Harvard, Harvard,Princeton ,1
Yale @ Pennsylvania, Pennsylvania,Yale ,1
Brown @ Cornell, Cornell,Brown ,1
Columbia @ Dartmouth, Dartmouth,Columbia ,1
Dartmouth @ Harvard, Harvard,Dartmouth ,1
Pennsylvania @ Brown, Brown,Pennsylvania ,1
Cornell @ Princeton, Princeton,Cornell ,1
Columbia @ Yale, Yale,Columbia ,1
Brown @ Yale, Yale,Brown ,1
Cornell @ Dartmouth, Dartmouth,Cornell ,1
Princeton @ Pennsylvania, Pennsylvania,Princeton ,1
Harvard @ Columbia, Columbia,Harvard ,1
Dartmouth vs. Brown*,Dartmouth,Brown,0
Pennsylvania @ Harvard, Harvard,Pennsylvania ,1
Yale @ Princeton, Princeton,Yale ,1
Columbia @ Cornell, Cornell,Columbia ,1
Cornell @ Pennsylvania, Pennsylvania,Cornell ,1
Princeton @ Dartmouth, Dartmouth,Princeton ,1
Harvard @ Yale, Yale,Harvard ,1
Brown @ Columbia, Columbia,Brown ,1
