Team,Conference,YUSAG_Coefficient,rank
Alabama,SEC,33.16,1
Ohio St.,B10,29.25,2
Clemson,ACC,29.13,3
Michigan,B10,26.49,4
Washington,P12,24.61,5
Oklahoma,B12,23.15,6
LSU,SEC,21.11,7
Louisville,ACC,19.12,8
Florida St,ACC,18.64,9
USC,P12,17.93,10
Wisconsin,B10,16.82,11
Auburn,SEC,16.68,12
Stanford,P12,15.95,13
Virginia Tech,ACC,15.48,14
Florida,SEC,15.18,15
Washington St,P12,14.88,16
Miami FL,ACC,14.58,17
Penn St,B10,13.44,18
Tennessee,SEC,13.38,19
Mississippi,SEC,12.7,20
Texas A&M,SEC,12.54,21
North Carolina,ACC,12.42,22
WKU,CUSA,11.53,23
Oklahoma St,B12,11.24,24
West Virginia,B12,10.82,25
Colorado,P12,10.69,26
Houston,AAC,10.48,27
Notre Dame,FBSI,10.32,28
Pittsburgh,ACC,10.22,29
Utah,P12,10.2,30
Georgia,SEC,10.09,31
TCU,B12,9.51,32
Georgia Tech,ACC,9.45,33
Kansas St,B12,9.44,34
W Michigan,MAC,9.18,35
Memphis,AAC,9.06,36
Baylor,B12,8.99,37
NC State,ACC,8.37,38
Arkansas,SEC,8.24,39
BYU,FBSI,8.15,40
Boise St,MWC,7.71,41
Temple,AAC,7.35,42
South Florida,AAC,7.23,43
Mississippi St,SEC,7.09,44
Michigan St,B10,6.59,45
UCLA,P12,6.31,46
Oregon,P12,6.26,47
Northwestern,B10,6.24,48
Navy,AAC,5.84,49
San Diego St,MWC,5.49,50
Nebraska,B10,5.1,51
Minnesota,B10,5.02,52
Iowa,B10,4.92,53
Toledo,MAC,3.83,54
Appalachian St,SBC,3.49,55
Tulsa,AAC,3.39,56
California,P12,3.38,57
Texas,B12,3.37,58
Vanderbilt,SEC,2.96,59
Louisiana Tech,CUSA,2.36,60
Arizona St,P12,2.1,61
Texas Tech,B12,1.54,62
Duke,ACC,1.5,63
Kentucky,SEC,1.38,64
South Carolina,SEC,0.99,65
Missouri,SEC,0.44,66
Indiana,B10,0.31,67
Air Force,MWC,0.08,68
Wake Forest,ACC,-0.41,70
Oregon St,P12,-0.59,71
Iowa St,B12,-0.85,72
Colorado St,MWC,-1.33,73
Boston College,ACC,-2.22,74
Troy,SBC,-2.41,75
Arkansas St,SBC,-2.63,76
Virginia,ACC,-2.93,77
UCF,AAC,-2.96,78
Arizona,P12,-3.57,79
Maryland,B10,-3.87,80
N Illinois,MAC,-4.34,81
Syracuse,ACC,-5.14,82
Ga Southern,SBC,-5.82,83
Wyoming,MWC,-5.95,84
Cincinnati,AAC,-6.25,85
Utah St,MWC,-6.37,86
Army,FBSI,-6.77,87
East Carolina,AAC,-7.16,88
Ohio,MAC,-7.49,89
MTSU,CUSA,-7.94,90
New Mexico,MWC,-7.96,91
Southern Miss,CUSA,-8.59,92
Old Dominion,CUSA,-9.01,93
Illinois,B10,-9.08,94
C Michigan,MAC,-10.41,95
UT San Antonio,CUSA,-10.56,96
SMU,AAC,-11.13,97
Idaho,SBC,-11.19,98
Tulane,AAC,-11.78,99
Miami OH,MAC,-11.96,101
UAB,CUSA,-12.11,102
Bowling Green,MAC,-12.13,103
Nevada,MWC,-12.13,104
South Alabama,SBC,-12.65,105
Connecticut,AAC,-13.11,106
Akron,MAC,-13.31,107
Ball St,MAC,-14.04,108
Purdue,B10,-14.31,109
Rutgers,B10,-14.83,110
Marshall,CUSA,-14.88,111
E Michigan,MAC,-14.93,112
San Jose St,MWC,-15.25,113
Hawaii,MWC,-15.79,114
Georgia St,SBC,-16.18,115
Kent,MAC,-16.21,116
UNLV,MWC,-16.46,117
Massachusetts,FBSI,-17.39,118
Kansas,B12,-17.4,119
North Texas,CUSA,-18.1,120
Florida Intl,CUSA,-19.67,121
Fresno St,MWC,-19.78,122
Rice,CUSA,-19.93,123
FL Atlantic,CUSA,-20.62,124
Buffalo,MAC,-21.29,125
ULM,SBC,-22.14,126
New Mexico St,SBC,-22.42,127
UTEP,CUSA,-23.13,128
Charlotte,CUSA,-24.26,129
Texas St,SBC,-29.87,130
