,team,YUSAG_coef
1,Alabama,33.16127530016586
2,Ohio St.,29.246980502586815
3,Clemson,29.13325292938604
4,Michigan,26.488735725097047
5,Washington,24.610814682320935
6,Oklahoma,23.146934529024783
7,LSU,21.10754451820147
8,Louisville,19.1232311971651
9,Florida St.,18.641875681966464
10,Southern California,17.930074427189417
11,Wisconsin,16.815671753250918
12,Auburn,16.678121595298144
13,Stanford,15.949070883355763
14,Virginia Tech,15.476664999611478
15,Florida,15.176548750658133
16,Washington St.,14.875027086204895
17,Miami (FL),14.581250126437094
18,Penn St.,13.436519498711705
19,Tennessee,13.375454001227778
20,Ole Miss,12.704471229472095
21,Texas A&M,12.5372457461011
22,North Carolina,12.419111437885354
23,Western Ky.,11.534701362825473
24,Oklahoma St.,11.24172200545633
25,West Virginia,10.816060574072093
26,Colorado,10.692512791604024
27,Houston,10.483348060027517
28,Notre Dame,10.3217360133146
29,Pittsburgh,10.2220148498303
30,Utah,10.204619908073228
31,Georgia,10.085425087024966
32,TCU,9.51256901757909
33,Georgia Tech,9.449840891733286
34,Kansas St.,9.440928323665124
35,Western Mich.,9.181884141498081
36,Memphis,9.06283144890859
37,Baylor,8.994096990470352
38,North Carolina St.,8.371881588911682
39,Arkansas,8.243090183565412
40,BYU,8.149787513235648
41,Boise St.,7.7147044755954015
42,Temple,7.3451021265242105
43,South Fla.,7.233447658806839
44,Mississippi St.,7.093350235252788
45,Michigan St.,6.58652548361369
46,UCLA,6.309197549237763
47,Oregon,6.261662628938814
48,Northwestern,6.23698833862272
49,Navy,5.8400178715873965
50,San Diego St.,5.486673083551575
51,Nebraska,5.101497929287879
52,Minnesota,5.017930788877889
53,Iowa,4.916416374631688
54,Toledo,3.826133762690121
55,Appalachian St.,3.4903609130571307
56,Tulsa,3.392902076577808
57,California,3.3751837300163627
58,Texas,3.3737462346059988
59,Vanderbilt,2.9610307764554893
60,Louisiana Tech,2.3571946281230582
61,Arizona St.,2.1046852120689095
62,Texas Tech,1.5418213153840388
63,Duke,1.5012407085339883
64,Kentucky,1.3815526188150917
65,South Carolina,0.9859816499871903
66,Missouri,0.4424562964026582
67,Indiana,0.3104289210264178
68,Air Force,0.07782568350311903
69,Wake Forest,-0.4115289096842844
70,Oregon St.,-0.591987296837108
71,Iowa St.,-0.8527557062118938
72,Colorado St.,-1.3332124348897971
73,Boston College,-2.2205939920426827
74,Troy,-2.4069847575790324
75,Arkansas St.,-2.628917359665449
76,Virginia,-2.9340029056642214
77,UCF,-2.9622800412384773
78,Arizona,-3.570631853475754
79,Maryland,-3.8734951237027033
80,Northern Ill.,-4.338581014615141
81,Syracuse,-5.144783298756039
82,Ga. Southern,-5.820856024858213
83,Wyoming,-5.949021134146032
84,Cincinnati,-6.2501526119464375
85,Utah St.,-6.3671800131021845
86,Army West Point,-6.7714944000956345
87,East Carolina,-7.161828443560685
88,Ohio,-7.486053990019806
89,Middle Tenn.,-7.936755731196554
90,New Mexico,-7.964504617791257
91,Southern Miss.,-8.590653328203304
92,Old Dominion,-9.01066311737437
93,Illinois,-9.084931342169579
94,Central Mich.,-10.408258296947631
95,UTSA,-10.56194461692386
96,SMU,-11.126656007196432
97,Idaho,-11.186699869356906
98,Tulane,-11.775783371736429
99,Louisiana,-11.85678427410111
100,Miami (OH),-11.964629180885165
101,UAB,-12.11143001365714
102,Bowling Green,-12.125007456626266
103,Nevada,-12.129901966851362
104,South Ala.,-12.654880080044686
105,UConn,-13.112584130793065
106,Akron,-13.312718048865989
107,Ball St.,-14.043997046725044
108,Purdue,-14.30848694220627
109,Rutgers,-14.828534570407438
110,Marshall,-14.880849719405477
111,Eastern Mich.,-14.925968180926011
112,San Jose St.,-15.250056314670422
113,Hawaii,-15.791527849295532
114,Georgia St.,-16.181733775669365
115,Kent St.,-16.210847843695554
116,UNLV,-16.455445536244543
117,Massachusetts,-17.385393252841737
118,Kansas,-17.401614830819465
119,North Texas,-18.095603039770157
120,FIU,-19.674691672304995
121,Fresno St.,-19.783081075167274
122,Rice,-19.933257422711186
123,Fla. Atlantic,-20.62441755082398
124,Buffalo,-21.294646771030703
125,La.-Monroe,-22.1446163264302
126,New Mexico St.,-22.42407368641671
127,UTEP,-23.13416241599896
128,Charlotte,-24.255925182207623
129,Texas St.,-29.8709286568255
