"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2014,9,6,"Air Force","Wyoming","V",13,17,NA,2
2014,9,13,"Air Force","Georgia St.","V",48,38,NA,2
2014,9,27,"Air Force","Boise St.","H",28,14,NA,2
2014,10,4,"Air Force","Navy","H",30,21,NA,2
2014,10,11,"Air Force","Utah St.","V",16,34,NA,2
2014,10,18,"Air Force","New Mexico","H",35,31,NA,2
2014,11,1,"Air Force","Army West Point","V",23,6,NA,2
2014,11,8,"Air Force","UNLV","V",48,21,NA,2
2014,11,15,"Air Force","Nevada","H",45,38,1,2
2014,11,21,"Air Force","San Diego St.","V",14,30,NA,2
2014,11,28,"Air Force","Colorado St.","H",27,24,NA,2
2014,12,20,"Air Force","Western Mich.","N",38,24,NA,2
2014,9,6,"Akron","Penn St.","V",3,21,NA,2
2014,9,20,"Akron","Marshall","H",17,48,NA,2
2014,9,27,"Akron","Pittsburgh","V",21,10,NA,2
2014,10,4,"Akron","Eastern Mich.","H",31,6,NA,2
2014,10,11,"Akron","Miami (OH)","H",29,19,NA,2
2014,10,18,"Akron","Ohio","V",20,23,NA,2
2014,10,25,"Akron","Ball St.","V",21,35,NA,2
2014,11,4,"Akron","Bowling Green","H",10,27,NA,2
2014,11,11,"Akron","Buffalo","V",24,55,NA,2
2014,11,18,"Akron","Massachusetts","H",30,6,NA,2
2014,11,28,"Akron","Kent St.","V",24,27,NA,2
2014,8,30,"Alabama","West Virginia","N",33,23,NA,2
2014,9,6,"Alabama","Fla. Atlantic","H",41,0,NA,2
2014,9,13,"Alabama","Southern Miss.","H",52,12,NA,2
2014,9,20,"Alabama","Florida","H",42,21,NA,2
2014,10,4,"Alabama","Ole Miss","V",17,23,NA,2
2014,10,11,"Alabama","Arkansas","V",14,13,NA,2
2014,10,18,"Alabama","Texas A&M","H",59,0,NA,2
2014,10,25,"Alabama","Tennessee","V",34,20,NA,2
2014,11,8,"Alabama","LSU","V",20,13,1,2
2014,11,15,"Alabama","Mississippi St.","H",25,20,NA,2
2014,11,29,"Alabama","Auburn","H",55,44,NA,2
2014,12,6,"Alabama","Missouri","N",42,13,NA,2
2015,1,1,"Alabama","Ohio St.","H",35,42,NA,2
2014,8,30,"Appalachian St.","Michigan","V",14,52,NA,2
2014,9,20,"Appalachian St.","Southern Miss.","V",20,21,NA,2
2014,9,25,"Appalachian St.","Ga. Southern","V",14,34,NA,2
2014,10,4,"Appalachian St.","South Ala.","H",21,47,NA,2
2014,10,18,"Appalachian St.","Troy","V",53,14,NA,2
2014,11,1,"Appalachian St.","Georgia St.","H",44,0,NA,2
2014,11,8,"Appalachian St.","La.-Monroe","H",31,29,NA,2
2014,11,15,"Appalachian St.","Arkansas St.","V",37,32,NA,2
2014,11,22,"Appalachian St.","Louisiana","V",35,16,NA,2
2014,11,29,"Appalachian St.","Idaho","H",45,28,NA,2
2014,8,29,"Arizona","UNLV","H",58,13,NA,2
2014,9,4,"Arizona","UTSA","V",26,23,NA,2
2014,9,13,"Arizona","Nevada","H",35,28,NA,2
2014,9,20,"Arizona","California","H",49,45,NA,2
2014,10,2,"Arizona","Oregon","V",31,24,NA,2
2014,10,11,"Arizona","Southern California","H",26,28,NA,2
2014,10,25,"Arizona","Washington St.","V",59,37,NA,2
2014,11,1,"Arizona","UCLA","V",7,17,NA,2
2014,11,8,"Arizona","Colorado","H",38,20,NA,2
2014,11,15,"Arizona","Washington","H",27,26,NA,2
2014,11,22,"Arizona","Utah","V",42,10,NA,2
2014,11,28,"Arizona","Arizona St.","H",42,35,NA,2
2014,12,5,"Arizona","Oregon","N",13,51,NA,2
2014,12,31,"Arizona","Boise St.","N",30,38,NA,2
2014,9,6,"Arizona St.","New Mexico","V",58,23,NA,2
2014,9,13,"Arizona St.","Colorado","V",38,24,NA,2
2014,9,25,"Arizona St.","UCLA","H",27,62,NA,2
2014,10,4,"Arizona St.","Southern California","V",38,34,NA,2
2014,10,18,"Arizona St.","Stanford","H",26,10,NA,2
2014,10,25,"Arizona St.","Washington","V",24,10,NA,2
2014,11,1,"Arizona St.","Utah","H",19,16,1,2
2014,11,8,"Arizona St.","Notre Dame","H",55,31,NA,2
2014,11,15,"Arizona St.","Oregon St.","V",27,35,NA,2
2014,11,22,"Arizona St.","Washington St.","H",52,31,NA,2
2014,11,28,"Arizona St.","Arizona","V",35,42,NA,2
2014,12,27,"Arizona St.","Duke","N",36,31,NA,2
2014,8,30,"Arkansas","Auburn","V",21,45,NA,2
2014,9,13,"Arkansas","Texas Tech","V",49,28,NA,2
2014,9,20,"Arkansas","Northern Ill.","H",52,14,NA,2
2014,9,27,"Arkansas","Texas A&M","N",28,35,1,2
2014,10,11,"Arkansas","Alabama","H",13,14,NA,2
2014,10,18,"Arkansas","Georgia","N",32,45,NA,2
2014,10,25,"Arkansas","UAB","H",45,17,NA,2
2014,11,1,"Arkansas","Mississippi St.","V",10,17,NA,2
2014,11,15,"Arkansas","LSU","H",17,0,NA,2
2014,11,22,"Arkansas","Ole Miss","H",30,0,NA,2
2014,11,28,"Arkansas","Missouri","V",14,21,NA,2
2014,12,29,"Arkansas","Texas","N",31,7,NA,2
2014,9,6,"Arkansas St.","Tennessee","V",19,34,NA,2
2014,9,13,"Arkansas St.","Miami (FL)","V",20,41,NA,2
2014,9,20,"Arkansas St.","Utah St.","H",21,14,1,2
2014,10,4,"Arkansas St.","La.-Monroe","H",28,14,NA,2
2014,10,11,"Arkansas St.","Georgia St.","V",52,10,NA,2
2014,10,21,"Arkansas St.","Louisiana","V",40,55,NA,2
2014,11,1,"Arkansas St.","Idaho","V",44,28,NA,2
2014,11,8,"Arkansas St.","South Ala.","H",45,10,NA,2
2014,11,15,"Arkansas St.","Appalachian St.","H",32,37,NA,2
2014,11,20,"Arkansas St.","Texas St.","V",27,45,NA,2
2014,11,29,"Arkansas St.","New Mexico St.","H",68,35,NA,2
2015,1,4,"Arkansas St.","Toledo","N",44,63,NA,2
2014,9,6,"Army West Point","Buffalo","H",47,39,NA,2
2014,9,13,"Army West Point","Stanford","V",0,35,NA,2
2014,9,20,"Army West Point","Wake Forest","V",21,24,NA,2
2014,10,4,"Army West Point","Ball St.","H",33,24,NA,2
2014,10,11,"Army West Point","Rice","H",21,41,NA,2
2014,10,18,"Army West Point","Kent St.","V",17,39,NA,2
2014,11,1,"Army West Point","Air Force","H",6,23,NA,2
2014,11,8,"Army West Point","UConn","N",35,21,NA,2
2014,11,15,"Army West Point","Western Ky.","V",24,52,NA,2
2014,12,13,"Army West Point","Navy","N",10,17,NA,2
2014,8,30,"Auburn","Arkansas","H",45,21,NA,2
2014,9,6,"Auburn","San Jose St.","H",59,13,NA,2
2014,9,18,"Auburn","Kansas St.","V",20,14,NA,2
2014,9,27,"Auburn","Louisiana Tech","H",45,17,NA,2
2014,10,4,"Auburn","LSU","H",41,7,NA,2
2014,10,11,"Auburn","Mississippi St.","V",23,38,NA,2
2014,10,25,"Auburn","South Carolina","H",42,35,NA,2
2014,11,1,"Auburn","Ole Miss","V",35,31,NA,2
2014,11,8,"Auburn","Texas A&M","H",38,41,NA,2
2014,11,15,"Auburn","Georgia","V",7,34,NA,2
2014,11,29,"Auburn","Alabama","V",44,55,NA,2
2015,1,1,"Auburn","Wisconsin","V",31,34,1,2
2014,8,29,"BYU","UConn","V",35,10,NA,2
2014,9,6,"BYU","Texas","V",41,7,NA,2
2014,9,11,"BYU","Houston","H",33,25,NA,2
2014,9,20,"BYU","Virginia","H",41,33,NA,2
2014,10,3,"BYU","Utah St.","H",20,35,NA,2
2014,10,9,"BYU","UCF","V",24,31,1,2
2014,10,18,"BYU","Nevada","H",35,42,NA,2
2014,10,24,"BYU","Boise St.","V",30,55,NA,2
2014,11,1,"BYU","Middle Tenn.","V",27,7,NA,2
2014,11,15,"BYU","UNLV","H",42,23,NA,2
2014,11,29,"BYU","California","V",42,35,NA,2
2014,12,22,"BYU","Memphis","N",48,55,2,2
2014,9,6,"Ball St.","Iowa","V",13,17,NA,2
2014,9,20,"Ball St.","Toledo","V",23,34,NA,2
2014,10,4,"Ball St.","Army West Point","V",24,33,NA,2
2014,10,11,"Ball St.","Western Mich.","H",38,42,NA,2
2014,10,18,"Ball St.","Central Mich.","V",32,29,NA,2
2014,10,25,"Ball St.","Akron","H",35,21,NA,2
2014,11,5,"Ball St.","Northern Ill.","H",21,35,NA,2
2014,11,12,"Ball St.","Massachusetts","V",10,24,NA,2
2014,11,22,"Ball St.","Eastern Mich.","H",45,30,NA,2
2014,11,28,"Ball St.","Bowling Green","V",41,24,NA,2
2014,8,31,"Baylor","SMU","H",45,0,NA,2
2014,9,12,"Baylor","Buffalo","V",63,21,NA,2
2014,9,27,"Baylor","Iowa St.","V",49,28,NA,2
2014,10,4,"Baylor","Texas","V",28,7,NA,2
2014,10,11,"Baylor","TCU","H",61,58,NA,2
2014,10,18,"Baylor","West Virginia","V",27,41,NA,2
2014,11,1,"Baylor","Kansas","H",60,14,NA,2
2014,11,8,"Baylor","Oklahoma","V",48,14,NA,2
2014,11,22,"Baylor","Oklahoma St.","H",49,28,NA,2
2014,11,29,"Baylor","Texas Tech","N",48,46,NA,2
2014,12,6,"Baylor","Kansas St.","H",38,27,NA,2
2015,1,1,"Baylor","Michigan St.","N",41,42,NA,2
2014,8,28,"Boise St.","Ole Miss","N",13,35,NA,2
