"year","month","day","team","opponent","location","teamscore","oppscore","OT","D1"
2016,9,10,"Abilene Christian","Northern Colo.","H",52,55,NA,2
2016,9,17,"Abilene Christian","Houston Baptist","V",24,27,1,2
2016,9,24,"Abilene Christian","SFA","V",30,41,NA,2
2016,10,1,"Abilene Christian","Central Ark.","H",27,58,NA,2
2016,10,8,"Abilene Christian","Lamar University","H",10,38,NA,2
2016,10,15,"Abilene Christian","Sam Houston St.","V",21,48,NA,2
2016,10,22,"Abilene Christian","Incarnate Word","H",52,27,NA,2
2016,10,29,"Abilene Christian","McNeese","V",14,33,NA,2
2016,11,5,"Abilene Christian","Northwestern St.","H",25,22,NA,2
2016,11,12,"Abilene Christian","Southeastern La.","V",19,31,NA,2
2016,9,10,"Alabama A&M","Mississippi Val.","V",35,16,NA,2
2016,9,17,"Alabama A&M","Prairie View","H",20,41,NA,2
2016,9,24,"Alabama A&M","Southern U.","H",31,59,NA,2
2016,10,1,"Alabama A&M","Texas Southern","V",31,34,NA,2
2016,10,8,"Alabama A&M","Alcorn","H",19,42,NA,2
2016,10,15,"Alabama A&M","Ark.-Pine Bluff","V",40,7,NA,2
2016,10,29,"Alabama A&M","Alabama St.","H",42,41,1,2
2016,11,5,"Alabama A&M","Grambling","H",17,56,NA,2
2016,11,12,"Alabama A&M","Jackson St.","V",27,20,NA,2
2016,9,10,"Alabama St.","Alcorn","V",18,21,NA,2
2016,9,17,"Alabama St.","Southern U.","V",6,64,NA,2
2016,9,24,"Alabama St.","Texas Southern","H",27,31,NA,2
2016,10,1,"Alabama St.","Ark.-Pine Bluff","H",41,21,NA,2
2016,10,8,"Alabama St.","Prairie View","V",17,24,1,2
2016,10,15,"Alabama St.","Mississippi Val.","H",56,24,NA,2
2016,10,29,"Alabama St.","Alabama A&M","V",41,42,1,2
2016,11,5,"Alabama St.","Jackson St.","H",14,7,NA,2
2016,11,12,"Alabama St.","Grambling","N",0,21,NA,2
2016,9,10,"Albany (NY)","Rhode Island","V",35,7,NA,2
2016,9,17,"Albany (NY)","Holy Cross","H",45,28,NA,2
2016,9,24,"Albany (NY)","Saint Francis (PA)","H",20,9,NA,2
2016,10,8,"Albany (NY)","Richmond","H",30,36,3,2
2016,10,15,"Albany (NY)","Maine","V",16,20,NA,2
2016,10,22,"Albany (NY)","Villanova","V",13,24,NA,2
2016,10,29,"Albany (NY)","Elon","H",27,3,NA,2
2016,11,5,"Albany (NY)","Delaware","H",17,33,NA,2
2016,11,12,"Albany (NY)","New Hampshire","V",36,25,NA,2
2016,11,19,"Albany (NY)","Stony Brook","H",13,6,NA,2
2016,9,10,"Alcorn","Alabama St.","H",21,18,NA,2
2016,9,15,"Alcorn","Ark.-Pine Bluff","H",43,45,3,2
2016,9,24,"Alcorn","Grambling","V",18,43,NA,2
2016,10,8,"Alcorn","Alabama A&M","V",42,19,NA,2
2016,10,15,"Alcorn","Texas Southern","H",23,20,NA,2
2016,10,29,"Alcorn","Southern U.","H",33,41,NA,2
2016,11,5,"Alcorn","Prairie View","V",27,31,NA,2
2016,11,12,"Alcorn","Mississippi Val.","V",61,7,NA,2
2016,11,19,"Alcorn","Jackson St.","H",35,16,NA,2
2016,12,3,"Alcorn","Grambling","N",20,27,NA,2
2016,9,3,"Ark.-Pine Bluff","Tennessee St.","V",0,44,NA,2
2016,9,15,"Ark.-Pine Bluff","Alcorn","V",45,43,3,2
2016,9,24,"Ark.-Pine Bluff","Jackson St.","N",20,32,NA,2
2016,10,1,"Ark.-Pine Bluff","Alabama St.","V",21,41,NA,2
2016,10,15,"Ark.-Pine Bluff","Alabama A&M","H",7,40,NA,2
2016,10,22,"Ark.-Pine Bluff","Southern U.","V",17,49,NA,2
2016,10,29,"Ark.-Pine Bluff","Grambling","V",0,70,NA,2
2016,11,5,"Ark.-Pine Bluff","Mississippi Val.","H",7,41,NA,2
2016,11,12,"Ark.-Pine Bluff","Texas Southern","V",10,27,NA,2
2016,11,19,"Ark.-Pine Bluff","Prairie View","H",7,57,NA,2
2016,9,10,"Austin Peay","Tennessee Tech","H",7,41,NA,2
2016,9,24,"Austin Peay","Eastern Ill.","V",35,56,NA,2
2016,10,1,"Austin Peay","Murray St.","H",17,45,NA,2
2016,10,8,"Austin Peay","UT Martin","V",31,45,NA,2
2016,10,15,"Austin Peay","Jacksonville St.","V",14,34,NA,2
2016,10,22,"Austin Peay","Mercer","H",34,41,NA,2
2016,10,29,"Austin Peay","Southeast Mo. St.","V",21,41,NA,2
2016,11,5,"Austin Peay","Tennessee St.","H",40,41,NA,2
2016,11,12,"Austin Peay","Eastern Ky.","H",30,67,NA,2
2016,9,17,"Bethune-Cookman","Tennessee St.","H",24,31,NA,2
2016,9,24,"Bethune-Cookman","Savannah St.","V",10,16,1,2
2016,10,1,"Bethune-Cookman","N.C. Central","H",14,31,NA,2
2016,10,15,"Bethune-Cookman","N.C. A&T","H",35,52,NA,2
2016,10,22,"Bethune-Cookman","Norfolk St.","V",21,14,NA,2
2016,10,29,"Bethune-Cookman","Delaware St.","H",41,10,NA,2
2016,11,5,"Bethune-Cookman","Morgan St.","V",41,10,NA,2
2016,11,19,"Bethune-Cookman","Florida A&M","N",39,19,NA,2
2016,11,26,"Bethune-Cookman","South Carolina St.","V",7,28,NA,2
2016,9,17,"Brown","Bryant","V",35,27,NA,2
2016,9,24,"Brown","Harvard","H",22,32,NA,2
2016,10,1,"Brown","Rhode Island","V",13,28,NA,2
2016,10,8,"Brown","Stetson","H",21,31,NA,2
2016,10,15,"Brown","Princeton","V",7,31,NA,2
2016,10,22,"Brown","Cornell","H",28,21,1,2
2016,10,29,"Brown","Penn","V",14,21,NA,2
2016,11,5,"Brown","Yale","H",27,22,NA,2
2016,11,12,"Brown","Dartmouth","V",24,21,NA,2
2016,11,19,"Brown","Columbia","H",13,31,NA,2
2016,9,10,"Bryant","Montana St.","V",24,27,NA,2
2016,9,17,"Bryant","Brown","H",27,35,NA,2
2016,9,24,"Bryant","Central Conn. St.","H",45,25,NA,2
2016,10,1,"Bryant","Maine","V",31,35,NA,2
2016,10,15,"Bryant","Saint Francis (PA)","V",3,38,NA,2
2016,10,22,"Bryant","Wagner","H",27,17,NA,2
2016,10,29,"Bryant","Duquesne","V",31,35,NA,2
2016,11,5,"Bryant","Robert Morris","H",24,13,NA,2
2016,11,19,"Bryant","Sacred Heart","V",42,34,NA,2
2016,9,3,"Bucknell","Marist","V",26,10,NA,2
2016,9,10,"Bucknell","Duquesne","V",19,30,NA,2
2016,9,17,"Bucknell","Cornell","H",16,24,NA,2
2016,9,24,"Bucknell","VMI","H",17,23,3,2
2016,10,8,"Bucknell","Holy Cross","V",21,20,NA,2
2016,10,15,"Bucknell","Colgate","H",7,27,NA,2
